"Le Château de la Rose", 34, 23, 30, 50
"La Villa des Mille Fleurs", 39, 12, -220, 240
"L'Oasis Enchantée", 35, 13, 20, 230
"Le Refuge du Voyageur", 42, 10, 10, -200
"Le Palais de la Lune", 38, 12, 0, -19
"La Perle du Rivage", 42, 19, -28, 43
"L'Auberge du Bonheur", 39, 3, 36, 12
"Le Paradis Étoilé", 57, 1, 229, 20
"La Couronne d'Or", 63, 2, -178, 0
"La Fontaine de Cristal", 48, 4, -39, -98
"Le Sanctuaire du Repos", 53, 5, 189, 201
"L'Étoile du Nord", 67, 14, 230, 222
"Le Manoir des Anges", 41, 17, 111, -123
"La Cité des Songes", 46, 3, 23, 33
"La Résidence du Bonheur", 52, 6, 123, 43
"La Tour d'Émeraude", 72, 8, 121, -98
"Le Refuge de l'Aube", 70, 9, 76, 76
"Le Relais de la Sérénité", 103, 11, -110, 109
"La Forteresse des Vents", 130, 15, -246, -239
"L'Éden des Merveilles", 119, 16, 221, -78
"La Demeure des Brises", 156, 13, -56, -221
"Le Château des Nuages", 127, 13, 20, 21
"Le Havre du Soleil", 104, 18, 39, -40
"La Perle des Sables", 119, 20, 56, 42
"L'Arc-en-Ciel Palace", 134, 23, 98, -46
"Le Joyau de la Mer", 119, 25, 156, 179
"La Cascade de Lumière", 141, 21, 98, 119
"La Villa des Horizons", 132, 22, -76, 89
"Le Sanctuaire de la Paix", 110, 26, 75, 92
"Le Manoir des Secrets", 119, 24, 87, -247
"La Couronne d'Argent", 154, 12, -127, 221
"La Source du Bien-être", 163, 16, 0, 0
"Le Domaine des Étoiles", 254, 3, 12, 4
"Le Palais des Mirages", 169, 21, -120, 19
"L'Étoile du Soir", 159, 18, 234, 12
"La Résidence des Lumières", 211, 4, -89, -86
"Le Refuge des Éphémères", 193, 8, 65, 36
"Le Relais des Vents", 253, 11, -65, -236
"La Forteresse des Rêves", 289, 6, 245, -239
